Weight, Height, Type of Sportsman
65.0,1.78, {'cyclist'}
65.0,1.72, {'swimmer'}
75.0,1.85, {'other'}
65.0,1.72, {'other'}
57.0,1.7, {'other'}
80.0,1.78, {'archer'}
83.916,1.905, {'golf player'}
68.0,1.73, {'other'}
74.0,1.86, {'other'}
70.0,1.76, {'cyclist'}
61.0,1.66, {'swimmer'}
94.0,1.83, {'rugby player'}
51.0,1.67, {'swimmer'}
57.0,1.8, {'volleyball player'}
105.0,2.08, {'basketball player'}
80.0,1.9, {'swimmer'}
61.6896,1.651, {'basketball player'}
85.73039999999999,1.7526, {'rugby player'}
62.1432,1.7272, {'other'}
52.0,1.68, {'swimmer'}
80.0,1.86, {'shooter'}
65.0,1.85, {'volleyball player'}
75.0,1.8, {'pentathlete'}
73.0,1.68, {'other'}
98.0,1.85, {'rugby player'}
55.0,1.71, {'other'}
93.0,2.0, {'volleyball player'}
90.72,1.8542, {'other'}
99.0,2.05, {'volleyball player'}
88.452,1.905, {'other'}
93.0,1.81, {'other'}
92.0,1.83, {'rugby player'}
67.25,1.64, {'weightlifter'}
90.72,1.8288, {'other'}
92.988,1.905, {'hockey player'}
87.0912,1.8034, {'hockey player'}
107.0,1.96, {'other'}
87.99839999999999,1.8034, {'other'}
84.8232,1.8288, {'hockey player'}
79.8336,1.8288, {'hockey player'}
87.99839999999999,1.8542, {'hockey player'}
86.184,1.905, {'hockey player'}
88.9056,1.905, {'hockey player'}
81.19439999999999,1.778, {'hockey player'}
81.19439999999999,1.8288, {'hockey player'}
79.8336,1.8288, {'hockey player'}
127.008,2.159, {'basketball player'}
50.0,1.62, {'rower'}
81.648,1.778, {'hockey player'}
98.8848,1.8796, {'other'}
78.0,1.91, {'golf player'}
84.8232,1.778, {'other'}
92.0808,1.9304, {'hockey player'}
94.80239999999999,1.8288, {'other'}
78.0192,1.778, {'hockey player'}
90.72,1.8288, {'other'}
97.524,2.0066, {'basketball player'}
92.988,1.9304, {'other'}
82.5552,1.7272, {'hockey player'}
72.0,1.81, {'cyclist'}
63.0,1.83, {'cyclist'}
78.0192,1.8034, {'hockey player'}
99.792,1.905, {'other'}
73.0296,1.8034, {'hockey player'}
78.9264,1.8288, {'hockey player'}
86.184,1.8542, {'hockey player'}
92.0,1.81, {'other'}
117.0,1.97, {'handball player'}
87.99839999999999,1.8796, {'hockey player'}
90.0,1.89, {'handball player'}
83.916,1.7526, {'hockey player'}
83.0,1.86, {'cyclist'}
104.78160000000001,1.9304, {'hockey player'}
74.844,1.778, {'hockey player'}
83.916,1.8034, {'hockey player'}
88.9056,1.8288, {'other'}
70.0,1.88, {'cyclist'}
85.0,1.92, {'swimmer'}
111.132,2.0827999999999998, {'basketball player'}
83.916,1.8542, {'martial artist'}
91.17360000000001,1.905, {'hockey player'}
86.6376,1.8288, {'hockey player'}
83.916,1.8542, {'hockey player'}
90.0,1.88, {'other'}
92.0808,1.8542, {'hockey player'}
79.8336,1.778, {'hockey player'}
90.72,1.9812, {'basketball player'}
87.0912,1.8288, {'hockey player'}
73.9368,1.7018, {'other'}
61.0,1.75, {'boxer'}
70.0,1.68, {'other'}
74.0,1.76, {'other'}
71.0,1.75, {'handball player'}
87.99839999999999,1.7526, {'hockey player'}
83.00880000000001,1.8288, {'other'}
87.0,1.93, {'other'}
87.99839999999999,1.8288, {'hockey player'}
84.8232,1.8796, {'hockey player'}
62.0,1.78, {'swimmer'}
78.0,1.85, {'swimmer'}
75.7,1.87, {'tennis player'}
87.99839999999999,1.8288, {'hockey player'}
72.0,1.9, {'other'}
86.0,1.86, {'swimmer'}
89.81280000000001,1.8034, {'hockey player'}
71.6688,1.778, {'basketball player'}
89.0,1.91, {'other'}
86.6376,1.8542, {'hockey player'}
98.8848,1.8796, {'hockey player'}
80.0,1.8, {'shooter'}
110.0,1.92, {'rugby player'}
86.184,1.8034, {'hockey player'}
73.9368,1.8288, {'other'}
68.0,1.82, {'other'}
87.0,1.83, {'other'}
79.8336,1.8288, {'hockey player'}
95.0,1.85, {'other'}
89.81280000000001,1.778, {'hockey player'}
79.8336,1.8034, {'hockey player'}
60.0,1.68, {'shooter'}
81.648,1.7526, {'other'}
106.596,2.0574, {'basketball player'}
90.26639999999999,1.9558, {'hockey player'}
89.81280000000001,1.778, {'hockey player'}
93.8952,1.9558, {'hockey player'}
87.0912,1.8542, {'hockey player'}
119.7504,1.8796, {'martial artist'}
82.1016,1.8288, {'hockey player'}
97.97760000000001,1.8288, {'other'}
67.0,1.77, {'martial artist'}
102.96719999999999,1.8034, {'other'}
88.9056,1.8542, {'other'}
67.0,1.74, {'martial artist'}
93.8952,1.8796, {'hockey player'}
87.99839999999999,1.8034, {'other'}
93.8952,1.8034, {'hockey player'}
95.0,1.96, {'volleyball player'}
84.8232,1.8034, {'hockey player'}
78.9264,1.7526, {'hockey player'}
87.99839999999999,1.8542, {'hockey player'}
87.99839999999999,1.778, {'hockey player'}
87.99839999999999,1.8288, {'other'}
78.4728,1.8288, {'hockey player'}
82.0,1.85, {'swimmer'}
89.81280000000001,1.8288, {'hockey player'}
145.0,2.01, {'other'}
87.99839999999999,1.8796, {'hockey player'}
93.8952,1.905, {'hockey player'}
111.132,1.9558, {'other'}
83.00880000000001,1.8288, {'hockey player'}
96.6168,1.8288, {'other'}
118.0,1.98, {'rugby player'}
71.0,1.86, {'martial artist'}
78.0,1.84, {'swimmer'}
79.8336,1.7399, {'hockey player'}
93.44160000000001,1.8796, {'hockey player'}
84.8232,1.8288, {'hockey player'}
87.99839999999999,1.8288, {'hockey player'}
62.0,1.7, {'tennis player'}
85.0,1.92, {'swimmer'}
92.0808,1.8796, {'hockey player'}
85.73039999999999,1.8034, {'hockey player'}
109.0,1.9, {'other'}
107.0,1.85, {'rugby player'}
87.0912,1.8288, {'other'}
86.184,1.8288, {'hockey player'}
89.81280000000001,1.8288, {'hockey player'}
83.916,1.8288, {'hockey player'}
87.99839999999999,1.8542, {'hockey player'}
92.0808,1.8542, {'hockey player'}
89.81280000000001,1.8288, {'hockey player'}
84.8232,1.8288, {'hockey player'}
87.0912,1.778, {'hockey player'}
87.99839999999999,1.8796, {'hockey player'}
77.112,1.778, {'other'}
91.17360000000001,1.778, {'hockey player'}
94.2,1.88, {'martial artist'}
78.9264,1.8034, {'hockey player'}
91.17360000000001,1.8288, {'other'}
95.70960000000001,1.8288, {'hockey player'}
78.0,1.85, {'other'}
92.988,1.8288, {'hockey player'}
83.916,1.905, {'other'}
117.0,1.8, {'rugby player'}
98.8848,1.7526, {'hockey player'}
92.53439999999999,1.905, {'other'}
81.648,1.7526, {'hockey player'}
58.0,1.72, {'cyclist'}
98.8848,1.8796, {'hockey player'}
79.8336,1.8288, {'other'}
75.0,1.89, {'swimmer'}
91.6272,1.8542, {'hockey player'}
86.0,1.98, {'volleyball player'}
95.256,1.8542, {'other'}
100.0,1.98, {'volleyball player'}
100.0,1.96, {'basketball player'}
84.0,1.91, {'volleyball player'}
83.916,1.778, {'hockey player'}
84.8232,1.8288, {'other'}
63.504,1.7018, {'other'}
97.0,2.04, {'volleyball player'}
85.0,1.92, {'basketball player'}
92.988,1.905, {'basketball player'}
90.0,1.92, {'handball player'}
72.0,1.8, {'tennis player'}
98.8848,1.8796, {'other'}
88.9056,1.8034, {'hockey player'}
94.80239999999999,1.905, {'hockey player'}
83.0,2.02, {'volleyball player'}
93.8952,1.8796, {'other'}
87.99839999999999,1.7526, {'hockey player'}
91.17360000000001,1.8288, {'other'}
94.80239999999999,1.8796, {'hockey player'}
82.1016,1.8288, {'other'}
89.81280000000001,1.8034, {'hockey player'}
102.06,2.032, {'hockey player'}
97.07039999999999,1.9177, {'hockey player'}
94.3488,1.9812, {'basketball player'}
95.0,2.02, {'basketball player'}
91.17360000000001,1.8034, {'other'}
113.0,2.08, {'basketball player'}
84.8232,1.7526, {'hockey player'}
95.256,1.8796, {'golf player'}
89.0,1.94, {'swimmer'}
89.81280000000001,1.7526, {'basketball player'}
84.0,1.93, {'volleyball player'}
52.0,1.57, {'other'}
82.0,1.92, {'volleyball player'}
100.0,1.78, {'rower'}
83.916,1.7526, {'other'}
98.8848,1.9558, {'other'}
77.112,1.778, {'basketball player'}
95.256,1.9304, {'other'}
83.916,1.8288, {'hockey player'}
83.46239999999999,1.8796, {'basketball player'}
79.0,1.93, {'tennis player'}
81.0,1.85, {'swimmer'}
75.0,1.8, {'table tennis player'}
78.0,1.86, {'swimmer'}
115.0,1.86, {'rugby player'}
101.0,1.81, {'rugby player'}
97.524,1.8796, {'other'}
124.74,2.159, {'basketball player'}
140.616,1.8796, {'other'}
95.2543977,1.8288, {'rugby player'}
110.0,1.75, {'rugby player'}
101.60469087999999,1.9304, {'rugby player'}
86.184,1.8034, {'hockey player'}
117.936,2.1336, {'basketball player'}
95.0,2.0066, {'swimmer'}
86.36,1.93, {'basketball player'}
127.008,1.9304, {'other'}
110.0,1.96, {'rugby player'}
96.1632,1.8542, {'other'}
81.648,1.7526, {'golf player'}
87.0,1.78, {'rugby player'}
84.8232,1.905, {'golf player'}
129.276,2.1336, {'basketball player'}
92.988,2.01, {'other'}
70.308,1.7526, {'martial artist'}
79.38,1.778, {'hockey player'}
93.44160000000001,1.9304, {'other'}
87.99839999999999,1.8034, {'hockey player'}
83.916,1.8542, {'other'}
76.20351816,1.905, {'tennis player'}
73.9368,1.78, {'swimmer'}
73.9368,1.778, {'hockey player'}
89.0,1.91, {'swimmer'}
83.916,1.778, {'other'}
73.0,1.73, {'other'}
90.72,1.9304, {'hockey player'}
91.0,1.8, {'rugby player'}
109.0,1.94, {'rugby player'}
91.17360000000001,1.8542, {'hockey player'}
69.8544,1.7526, {'hockey player'}
77.5656,1.8542, {'martial artist'}
98.0,1.94, {'rugby player'}
87.99839999999999,1.8542, {'hockey player'}
105.0,2.0066, {'rugby player'}
115.668,2.0827999999999998, {'basketball player'}
88.452,1.8542, {'hockey player'}
81.648,1.8288, {'other'}
88.90410451999999,1.8288, {'rugby player'}
82.0,1.78, {'rugby player'}
54.432,1.524, {'other'}
95.2543977,1.524, {'rugby player'}
82.55381134,1.7526, {'rugby player'}
85.0,1.96, {'volleyball player'}
78.0192,1.7526, {'hockey player'}
89.0,1.81, {'rugby player'}
102.0,1.85, {'rugby player'}
99.792,1.9558, {'other'}
83.0,1.82, {'rugby player'}
90.72,1.8288, {'wrestler'}
92.0,1.89, {'rugby player'}
112.0,1.98, {'rugby player'}
92.0,1.83, {'rugby player'}
79.0,1.86, {'cyclist'}
83.46239999999999,1.8034, {'other'}
90.72,2.032, {'basketball player'}
116.0,1.94, {'rugby player'}
80.0,1.86, {'swimmer'}
80.0,1.9, {'tennis player'}
86.184,1.8034, {'hockey player'}
77.112,1.8034, {'other'}
91.6272,1.8796, {'other'}
86.0,1.78, {'rugby player'}
94.80239999999999,2.0066, {'basketball player'}
102.0,1.83, {'rugby player'}
72.576,1.8288, {'swimmer'}
86.184,1.8542, {'other'}
102.0,1.88, {'rugby player'}
81.648,1.8034, {'hockey player'}
90.72,1.905, {'basketball player'}
117.936,1.9557999999999998, {'rugby player'}
97.97760000000001,1.8542, {'other'}
76.20351816,1.8542, {'rugby player'}
95.256,1.9558, {'basketball player'}
103.0,1.89, {'rugby player'}
102.06,1.905, {'other'}
88.452,1.9558, {'basketball player'}
105.0,2.1, {'volleyball player'}
84.0,1.72, {'rugby player'}
97.0,1.93, {'rugby player'}
85.0,1.8, {'rugby player'}
115.0,1.83, {'rugby player'}
93.0,1.82, {'rugby player'}
83.916,1.8796, {'other'}
73.0,1.84, {'other'}
108.0,1.85, {'rugby player'}
58.0608,1.9, {'swimmer'}
82.0,1.9, {'swimmer'}
88.452,1.8796, {'other'}
107.95498406,1.8288, {'rugby player'}
95.70960000000001,1.8288, {'hockey player'}
89.0,1.79, {'rugby player'}
72.576,1.8034, {'golf player'}
96.0,1.75, {'golf player'}
83.916,1.778, {'hockey player'}
96.0,1.84, {'rugby player'}
104.0,1.8542, {'rugby player'}
110.0,1.8796, {'rugby player'}
93.8952,2.0066, {'basketball player'}
130.0,1.524, {'other'}
54.0,1.65, {'boxer'}
79.38,1.778, {'hockey player'}
92.0808,1.8288, {'other'}
92.988,1.905, {'other'}
68.04,1.7018, {'golf player'}
124.74,2.1082, {'basketball player'}
90.0,1.86, {'swimmer'}
83.46239999999999,1.8542, {'basketball player'}
90.0,1.86, {'rugby player'}
86.184,1.8796, {'basketball player'}
107.0,1.778, {'rugby player'}
57.2,1.67, {'swimmer'}
77.112,1.7526, {'swimmer'}
104.0,1.87, {'rugby player'}
90.72,1.905, {'hockey player'}
81.648,1.8542, {'golf player'}
86.184,1.8542, {'hockey player'}
97.07039999999999,1.8796, {'other'}
81.0,1.778, {'swimmer'}
81.648,1.8288, {'golf player'}
77.112,1.778, {'other'}
92.988,1.8542, {'hockey player'}
88.452,1.8034, {'hockey player'}
83.0,1.72, {'other'}
94.80239999999999,1.778, {'rugby player'}
85.0,1.8, {'golf player'}
92.988,1.8542, {'other'}
91.0,1.86, {'rugby player'}
79.38,1.7272, {'hockey player'}
72.0,1.83, {'golf player'}
92.988,1.8796, {'hockey player'}
89.0,1.78, {'rugby player'}
88.452,1.8796, {'hockey player'}
82.1016,1.778, {'hockey player'}
82.0,1.82, {'rugby player'}
113.0,1.78, {'rugby player'}
113.0,2.01, {'rugby player'}
70.0,1.8, {'golf player'}
95.256,1.8796, {'hockey player'}
102.0,1.905, {'rugby player'}
113.4,2.0574, {'basketball player'}
88.9056,1.778, {'golf player'}
97.524,1.905, {'hockey player'}
79.0,0.0, {'other'}
95.0,1.95, {'basketball player'}
112.0,1.91, {'martial artist'}
90.72,1.8288, {'wrestler'}
101.1528,1.8796, {'hockey player'}
108.864,1.9304, {'other'}
78.0,1.91, {'other'}
77.112,1.8542, {'golf player'}
98.8848,1.7526, {'other'}
83.916,1.8288, {'other'}
107.0,1.8, {'rugby player'}
82.0,1.85, {'other'}
98.4312,1.905, {'other'}
82.1016,1.8796, {'hockey player'}
80.0,1.78, {'swimmer'}
105.0,1.86, {'rugby player'}
92.988,1.9304, {'hockey player'}
81.648,1.8288, {'swimmer'}
95.256,1.8542, {'other'}
95.256,1.8542, {'other'}
92.988,1.8542, {'hockey player'}
81.648,1.8034, {'other'}
128.0,1.95, {'rugby player'}
120.204,1.9304, {'other'}
102.06,1.7526, {'wrestler'}
99.792,1.8796, {'other'}
110.2248,2.1082, {'basketball player'}
104.0,1.94, {'rugby player'}
83.916,1.8796, {'other'}
104.0,2.032, {'basketball player'}
102.0,1.86, {'rugby player'}
90.72,1.7526, {'golf player'}
107.9568,1.8796, {'other'}
92.53439999999999,1.8796, {'hockey player'}
73.0,1.75, {'tennis player'}
63.0,1.75, {'cyclist'}
79.8336,1.8034, {'golf player'}
110.0,1.98, {'martial artist'}
115.0,1.83, {'rugby player'}
80.74080000000001,1.905, {'basketball player'}
98.0,1.83, {'rugby player'}
76.20351816,1.7018, {'rugby player'}
87.99839999999999,1.8288, {'hockey player'}
107.9568,2.0066, {'basketball player'}
87.0,1.77, {'rugby player'}
104.328,1.9812, {'other'}
112.0,1.73, {'rugby player'}
96.0,1.8288, {'rugby player'}
79.3,1.95, {'other'}
92.988,1.8796, {'hockey player'}
149.688,2.0066, {'other'}
90.26639999999999,2.032, {'basketball player'}
99.792,1.905, {'other'}
