Weight, Height
62000.0,1.74
53000.0,1.61
52000.0,1.58
69000.0,1.83
72000.0,1.85
59000.0,1.66
72576.0,1.8288
64000.0,1.73
52000.0,1.65
58000.0,1.68
59000.0,1.65
60000.0,1.67
79000.0,1.83
64000.0,1.87
70000.0,1.86
48000.0,1.55
75000.0,1.85
74000.0,1.87
72000.0,1.83
51000.0,1.79
36000.0,1.57
65000.0,1.64
64000.0,1.76
53000.0,1.59
78000.0,1.85
74000.0,1.78
82000.0,1.85
70000.0,1.85
67000.0,1.68
61000.0,1.82
73000.0,1.79
78000.0,1.8
58968.0,1.5748000000000002
58000.0,1.73
54000.0,1.71
67000.0,1.7
74000.0,1.87
89000.0,1.94
66000.0,1.67
50000.0,1.59
85000.0,1.72
104328.0,1.8288
77000.0,1.81
71000.0,1.73
90720.0,2.1336
71000.0,1.87
65000.0,1.82
73000.0,1.88
67000.0,1.78
77000.0,1.88
54000.0,1.7
52164.0,1.524
74000.0,1.86
57000.0,1.8
71000.0,1.89
59000.0,1.74
59100.0,1.67
67000.0,1.81
62000.0,1.71
69000.0,1.72
70000.0,1.83
57000.0,1.78
62000.0,1.7
69000.0,1.92
94000.0,1.68
73000.0,1.9
74000.0,1.84
57000.0,1.6
60000.0,1.64
62000.0,1.76
62000.0,1.74
68000.0,1.69
81648.0,1.9304
56000.0,1.68
66000.0,1.75
47000.0,1.61
64000.0,1.8
99000.0,1.84
80000.0,1.85
81194.4,1.8034
92988.0,1.778
69854.4,1.7526
87000.0,1.9
73029.6,1.8288
86184.0,1.8796
93895.2,1.8288
94000.0,1.78
60000.0,1.651
113000.0,1.83
76000.0,1.77
85000.0,1.87
84823.2,1.8288
80740.8,1.7526
78019.2,1.7526
100245.6,2.15265
68000.0,1.71
54000.0,1.66
72000.0,1.76
73000.0,1.74
92000.0,1.91
77000.0,1.86
58000.0,1.65
82000.0,1.78
72122.4,1.778
92988.0,1.905
70000.0,1.76
98884.8,1.9304
87544.8,1.8034
83916.0,1.905
83916.0,1.8034
91000.0,1.91
79000.0,1.79
86184.0,1.8034
97070.4,1.905
92988.0,1.8288
76000.0,1.86
85000.0,1.85
81648.0,1.778
72000.0,1.83
82101.6,1.7526
70000.0,1.86
74844.0,1.8542
79380.0,1.8034
86184.0,1.8796
70000.0,1.8
83916.0,1.8034
80000.0,1.88
102060.0,1.905
95256.0,1.9812
80740.8,1.8542
102967.2,1.9558
55000.0,1.59
86184.0,1.8288
64864.8,1.778
72122.4,1.7018
96000.0,1.92
68000.0,1.73
77000.0,1.83
63000.0,1.68
95000.0,1.9
92988.0,1.8288
83916.0,1.8796
112000.0,1.91
123832.8,2.1082
80000.0,1.81
83000.0,1.73
90000.0,2.09
87998.4,1.8542
60000.0,1.74
77000.0,1.8
115668.0,2.0701
86184.0,1.8034
136080.0,1.9304
76000.0,1.85
117936.0,2.1082
104328.0,1.9304
78019.2,1.778
111132.0,2.0574
86184.0,1.8288
97524.0,1.9558
70000.0,1.76
99792.0,1.905
126554.4,2.1082
86184.0,1.7018
104328.0,1.9558
81648.0,1.8542
65772.0,1.7018
92988.0,1.8796
108773.28,2.032
97524.0,1.9812
88452.0,1.905
68040.0,1.651
69000.0,1.76
108864.0,1.9812
86002.56,1.8796
86184.0,2.2098
90720.0,1.8796
97524.0,2.0574
90720.0,1.9304
104328.0,1.8796
90720.0,1.9812
85276.8,1.8288
84823.2,1.8034
156492.0,1.8796
88452.0,1.8288
110000.0,1.88
108864.0,2.032
122472.0,1.9558
100000.0,1.87
95256.0,1.9812
80000.0,1.8
90000.0,1.8
79380.0,1.905
90720.0,1.8034
70308.0,1.8034
89359.2,1.8796
86184.0,1.8288
77112.0,1.7526
74000.0,1.84
68000.0,1.72
60000.0,1.65
72000.0,1.78
111132.0,2.1336
80000.0,1.73
72000.0,1.83
84000.0,1.94
62000.0,1.73
100699.2,1.8796
62000.0,1.69
83916.0,1.9304
75000.0,1.9
83008.8,1.9304
89812.8,2.0066
113762.88,2.1082
53524.8,1.524
58000.0,1.65
90000.0,1.87
93000.0,2.04
72576.0,1.905
68000.0,1.8
72000.0,1.83
80000.0,1.87
70000.0,1.8
73000.0,1.78
80000.0,1.85
70000.0,1.75
67000.0,1.7
63957.6,1.8288
51000.0,1.6
70000.0,1.85
62143.2,1.7526
65000.0,1.88
72000.0,1.85
56000.0,1.69
68040.0,1.6256
56700.0,1.7018
69000.0,1.78
79380.0,1.8796
113000.0,1.85
83000.0,1.91
111000.0,1.83
104000.0,1.83
82000.0,1.83
92000.0,1.86
97524.0,2.00025
85000.0,1.94
74000.0,1.84
68000.0,1.78
80000.0,1.84
86000.0,1.93
58968.0,0.0
65000.0,1.78
65000.0,1.72
75000.0,1.85
65000.0,1.72
57000.0,1.7
80000.0,1.78
83916.0,1.905
68000.0,1.73
74000.0,1.86
70000.0,1.76
61000.0,1.66
94000.0,1.83
51000.0,1.67
57000.0,1.8
105000.0,2.08
80000.0,1.9
61689.6,1.651
85730.4,1.7526
62143.2,1.7272
52000.0,1.68
80000.0,1.86
65000.0,1.85
75000.0,1.8
73000.0,1.68
98000.0,1.85
55000.0,1.71
93000.0,2.0
90720.0,1.8542
99000.0,2.05
88452.0,1.905
93000.0,1.81
92000.0,1.83
67250.0,1.64
90720.0,1.8288
92988.0,1.905
87091.2,1.8034
107000.0,1.96
87998.4,1.8034
84823.2,1.8288
79833.6,1.8288
87998.4,1.8542
86184.0,1.905
88905.6,1.905
81194.4,1.778
81194.4,1.8288
79833.6,1.8288
127008.0,2.159
50000.0,1.62
81648.0,1.778
98884.8,1.8796
78000.0,1.91
84823.2,1.778
92080.8,1.9304
94802.4,1.8288
78019.2,1.778
90720.0,1.8288
97524.0,2.0066
92988.0,1.9304
82555.2,1.7272
72000.0,1.81
63000.0,1.83
78019.2,1.8034
99792.0,1.905
73029.6,1.8034
78926.4,1.8288
86184.0,1.8542
92000.0,1.81
117000.0,1.97
87998.4,1.8796
90000.0,1.89
83916.0,1.7526
83000.0,1.86
